Target;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19
1;B;48;B;86;B;1;2;3;3;C;40000;122;502;41000;2242;23255;0.2238;10.3724;0.9756
1;A;42;A;70;B;5;1;4;3;C;60000;211;574;66000;2240;70947;0.2562;31.6728;0.9091
1;B;42;B;103;B;5;1;2;3;C;60000;122;725;67000;2233;77076;0.3245;34.5168;0.8955
1;B;37;C;144;B;4;2;2;3;C;50000;148;551;53000;2216;55471;0.2488;25.032;0.9434
1;B;48;A;118;A;12;1;3;4;C;120000;227;909;140000;2192;104311;0.4146;47.5871;0.8571
1;A;43;A;55;B;3;1;1;3;C;80000;184;751;91000;2168;35983;0.3465;16.5973;0.8791
1;B;31;B;116;B;1;2;1;3;C;50000;211;479;61000;2160;30250;0.2217;14.0046;0.8197
1;B;35;A;108;B;9;2;1;3;C;76000;182;762;83000;2159;32930;0.3531;15.2524;0.9157
1;B;39;A;40;A;11;1;4;3;C;80000;150;759;92000;2155;90366;0.3522;41.9332;0.8696
1;B;49;A;168;B;5;1;2;3;C;100000;190;1004;114000;2131;108656;0.471;50.9883;0.8772
1;A;30;B;56;A;7;2;1;3;C;30000;174;307;32000;2122;24395;0.1445;11.4962;0.9375
1;B;46;A;137;B;8;1;2;3;C;50000;184;516;58000;2063;41107;0.25;19.9258;0.8621
1;B;45;C;59;A;11;1;4;4;C;40000;234;351;42000;2059;26742;0.1704;12.9879;0.9524
1;A;44;A;74;A;7;1;2;3;C;37000;132;429;41000;2047;47124;0.2098;23.021;0.9024
1;B;39;A;105;B;4;1;2;3;C;70000;205;556;82000;2044;52728;0.272;25.7965;0.8537
1;B;44;A;60;B;9;1;3;4;C;107200;240;754;127200;2008;74472;0.3754;37.0876;0.8428
1;B;43;A;208;A;6;1;2;4;C;50000;228;456;50000;1996;39559;0.2283;19.8191;1
1;B;31;C;63;A;11;1;0;4;A;30000;183;296;32000;1943;38244;0.1523;19.683;0.9375
1;B;43;B;65;B;3;1;3;3;C;60000;188;579;73000;1937;78312;0.2988;40.4295;0.8219
1;B;45;A;96;A;12;1;2;4;C;60000;138;638;69000;1932;67933;0.3301;35.162;0.8696
1;A;48;A;71;A;12;2;2;3;C;60000;171;571;60000;1930;63371;0.2959;32.8347;1
1;B;42;A;102;B;8;1;2;3;C;40000;236;317;45000;1912;21291;0.166;11.1355;0.8889
1;B;59;A;229;A;12;1;4;1;C;80000;198;759;82000;1900;42909;0.3992;22.5837;0.9756
1;B;52;A;128;B;5;1;1;3;C;50000;124;619;57000;1890;51660;0.3277;27.3333;0.8772
1;B;68;C;161;B;5;1;3;3;C;40000;239;319;46000;1890;50244;0.1689;26.5841;0.8696
1;B;43;B;194;A;1;1;1;3;C;60000;225;541;73000;1881;33934;0.2875;18.0404;0.8219
1;B;50;B;182;B;5;1;2;3;C;36000;213;288;45000;1880;32244;0.1531;17.1511;0.8
1;B;39;A;112;B;9;2;3;4;C;50000;215;461;57000;1879;67533;0.2452;35.9409;0.8772
1;B;37;B;78;B;5;1;0;3;C;34000;132;373;39000;1858;42038;0.2006;22.6254;0.8718
1;A;43;B;169;A;12;1;2;4;C;50000;134;544;51000;1831;32339;0.2969;17.6619;0.9804
1;A;48;A;66;A;11;1;3;3;C;100000;224;904;115000;1810;99137;0.4996;54.7718;0.8696
1;A;34;A;40;A;11;1;4;3;C;60000;131;718;64000;1806;64892;0.3975;35.9313;0.9375
1;B;50;A;72;B;1;1;3;3;C;24000;205;235;24000;1800;32166;0.1305;17.87;1
1;B;42;A;138;A;2;1;2;3;C;60000;140;657;69000;1788;26076;0.3674;14.5839;0.8696
1;B;51;A;178;B;1;2;3;3;C;60000;237;539;74000;1781;58189;0.3028;32.6721;0.8108
1;A;35;B;177;A;11;1;2;4;C;64000;180;634;67000;1694;32963;0.374;19.4587;0.9552
1;B;39;A;154;B;5;1;1;4;C;50000;220;470;53000;1689;26700;0.278;15.8082;0.9434
